Estación,Línea,Pasajeros 
SAN PEDRITO,A,8734900 
FEDERICO LACROZE,B,10052797 
CONSTITUCION,C,26050362 
CONGRESO DE TUCUMAN,D,10564866 
BOLIVAR,E,4741409 
ONCE,H,4379967 
